imageId,label
100008,3
100023,3
100053,1
100078,1
100090,1
100122,1
100123,1
100128,1
100134,3
100143,2
100150,4
100157,4
100187,4
100204,4
100237,3
100259,4
100263,2
100288,1
100295,1
100322,2
100335,3
100367,3
100380,3
100382,3
100383,3
100402,1
100428,1
100434,1
100444,1
100445,4
100458,1
100474,2
100479,1
100506,4
100513,2
100520,2
100541,4
100561,4
100571,1
100601,1
100623,2
100672,1
100673,3
100724,1
100727,1
100730,1
100740,1
100744,1
100765,3
100774,1
100801,3
100813,3
100821,3
100822,3
100836,2
100852,1
100859,3
100861,1
100867,1
100887,1
100894,4
100938,1
100951,3
100986,2
101007,3
101061,1
101074,3
101092,1
101127,2
101133,3
101135,1
101140,3
101151,1
101164,1
101166,3
101181,2
101232,2
101239,4
101244,3
101246,1
101247,1
101251,1
101275,3
101283,1
101286,1
101290,1
101291,1
101296,1
101298,3
101306,4
101307,3
101315,3
101324,3
101325,1
101355,2
101358,4
101371,1
101374,2
101375,4
101427,4
101469,3
101493,4
101501,4
101502,1
101518,1
101538,1
101548,1
101549,3
101563,2
101564,3
101572,1
101589,2
101591,4
101595,2
101597,1
101599,1
101623,1
101627,1
101651,1
101654,1
101660,2
101666,4
101685,2
101695,1
101701,4
101718,2
101754,1
101756,3
101762,2
101774,3
101787,3
101788,2
101798,4
101804,3
101807,3
101816,1
101848,2
101854,1
101858,1
101875,1
101893,2
101941,4
101943,1
101955,3
101971,1
101980,2
101991,3
101995,2
101997,2
102000,1
102015,1
102021,2
102027,3
102040,3
102046,3
102047,4
102113,4
102115,1
102159,4
102174,1
102176,3
102182,1
102243,3
102260,1
102271,4
102295,1
102328,3
102347,1
102371,1
102391,3
102402,3
102406,4
102407,3
102422,3
102433,3
102471,1
102474,3
102481,1
102513,1
102556,1
102595,4
102602,1
102616,1
102642,1
102649,1
102657,4
102699,4
102701,3
102729,1
102731,1
102735,3
102742,3
102743,1
102765,3
102770,1
102799,1
102804,1
102808,1
102812,2
102822,4
102834,1
102839,1
102843,1
102863,2
102871,1
102874,2
102919,4
102928,1
102933,1
102964,2
102974,4
102977,1
102982,2
102990,3
102998,4
103019,3
103037,3
103040,2
103072,1
103075,3
103132,2
103159,3
103167,4
103191,1
103224,1
103233,1
103246,4
103255,2
103260,1
103318,4
103323,1
103348,1
103353,1
103354,1
103356,3
103373,4
103386,1
103393,1
103444,1
103445,3
103491,4
103500,1
103503,4
103520,4
103523,4
103533,3
103547,3
103561,3
103577,1
103592,4
103610,1
103626,1
103645,1
103646,1
103707,1
103718,1
103731,1
103750,4
103751,4
103754,4
103758,1
103769,4
103787,2
103818,3
103819,1
103824,3
103882,4
103900,1
103902,1
103904,1
103907,1
103950,3
103955,1
103974,4
103979,3
103999,4
104001,3
104008,2
104020,3
104040,3
104041,2
104096,1
104110,1
104131,4
104141,1
104143,1
104159,1
104173,1
104196,1
104212,2
104216,2
104222,4
104234,3
104243,1
104253,1
104267,2
104268,2
104279,4
104281,1
